,新聞來源,新聞標題,關鍵字1,關鍵字2,關鍵字3
,自由財經,特斯拉董事出脫股票大賺近1.5億 隨後股價3連跌,特斯拉,特斯拉股價,
,Anue鉅亨,星展：美股大跌是健康的修正 建議維持科技股投資,星展,美股大跌,
,經濟日報,【外媒綜合】那斯達克崩跌短暫回調還是另一波修正的開始？ | 外媒解析| 會員專區,那斯達克,,
,自由財經,美股大跌投資人恐變心 專家：可能再跌10％,美股大跌,美股,
,Anue鉅亨,〈美股盤後〉VIX衝高！科技股引爆股災 道瓊暴跌逾 800 點,VIX,科技股,道瓊
,三立新聞網,台積電跌2.06% 台股重挫近200點 回檔壓力恐飆高,台積電,台股,
,Yahoo奇摩股市,美股慘跌VIX指數飆升 分析師：不代表市場將崩盤,美股大跌,VIX,
,Anue鉅亨,美股暴跌拖累 台股早盤一度重挫逾200點 富邦VIX飆漲8%,美股,台股,VIX
,工商時報,賭盤爆危機？11/3大選當天美股恐大地震,賭盤,美股,大選
,Yahoo奇摩新聞,道瓊暴跌800點！恐慌指數VIX飆漲 科技股引爆股災,道瓊,VIX,科技股
,自由財經,台股盤前》美股重挫大跌 短線勢必受拖累,美股,短線,
,自由財經,童子賢：台企實力勝任何FTA 供應鏈不分顏色,童子賢,FTA,供應鏈
,鉅亨網,紅色供應鏈崛起 童子賢：產業趨勢大於顏色,紅色供應鏈,童子賢,產業趨勢
,中央社即時新聞,紅色供應鏈崛起 童子賢：產業趨勢大過顏色選擇,紅色供應鏈,童子賢,產業趨勢
,ETtoday 新聞雲,台灣經貿實力漸強！童子賢：韓國簽FTA看似有優勢「但也沒好多少」,童子賢,FTA,韓國
,經濟日報,談紅色供應鏈 童子賢：產業趨勢大過顏色選擇,童子賢,產業趨勢,顏色
,中時新聞網 Chinatimes.com,採用三星8奈米嚇壞市場 繪圖晶片大廠棄台積電有玄機,三星,台積電,8奈米
,商業周刊,美國金融研究公司：台積電是全世界最重要的企業！3個理由，股價一點都不貴,台積電,美國金融,股價
,Yahoo奇摩,北漂族真的回流了！南科快速崛起 掀史上最大工程師移民潮,南科,北漂族,工程師
,電子工程專輯,Ansys多物理場方案通過台積電3奈米製程認證,Ansys,台積電,3奈米
,TechOrange 科技報橘,【台灣的南科將成為世界的南科】台積電南下部署帶動國際大廠投資，預估兩年產值直逼竹科！ | TechOrange,南科,台積電,投資
,Anue鉅亨,信邦8月營收連5個月創新高 前8月營收同寫新猷,信邦,營收,創新
,經濟日報,信邦連五月締新猷,信邦,5月,
,工商時報,去美化助攻宏捷科8月營收靚,去美化,宏捷科,8月
,Anue鉅亨,聚陽8月營收跳增至31億元 寫11個月來最佳,聚陽,8月,營收
,經濟日報,聚陽8月營收勁揚28%,聚陽,8月,
,Anue鉅亨,〈貴金屬盤後〉美股崩跌 市場趕忙變現 黃金挫至一週低點,美股,黃金,市場
,Yahoo奇摩股市,《研究報告》新興市場債明顯彈升 後市可期,新興市場,債,
,經濟日報,目標到期基金 變動市場優質選項,基金,變動市場,目標到期
,工商時報,新興市場債明顯彈升後市可期,新興市場,債,
,Anue鉅亨,豪展8月營收3.16億元 年增逾2倍 連3個月寫新高,豪展,8月,營收
,經濟日報,新興債中長線買點到,新興債,中長線,
,工商時報,外資瘋狂掃貨11萬張買的竟然不是台積電,外資,台積電,掃貨
,經濟日報,外資買超百億元 最愛從台積電轉為這檔,外資,台積電,買超
,Anue鉅亨,台股挫逾百點失守月線 外資大提款 三大法人賣超237.5億元,台股,百點,三大法人
,Yahoo奇摩股市,台股虎頭蛇尾 外資態度左右後市多空 分析師：強勢表態得看這3檔,台股,外斯,分析師
,經濟日報,三大法人賣超台股237.54億元,三大法人,超賣,234.54
,鏡週刊,【零股投資術2】買零股經常槓龜？ 這樣出價就對了,買零股,出價,
,Yahoo奇摩股市,【零股投資術5】圖解：盤中零股交易上路 3分鐘搞懂新制,盤中,零股,新制
,EBC東森財經新聞,買零股經常槓龜？ 這樣出價就對了,零股,出價,
,鏡週刊,【零股投資術1】小資族福音！不用再等2點半撮合 盤中零股交易將上路,小資,零股,盤中
,ETtoday 新聞雲,小資族買「零股」！他月投資1萬買進3檔...3招讓錢滾大,零股,投資,
,中央社即時新聞,口罩國家隊自清：從未旁門左道做口罩 也未遲交,口罩國家隊,口罩,自清
,udn OOPS! 新鮮事,網怨戴心酸？家裡口罩庫存好多「加利」 陸製字體差異曝光,口罩國家隊,庫存,加利
,中時新聞網 Chinatimes.com,加利老闆以國家隊為恥 嗆「快把我踢出」 律師驚：自掘墳墓啊,加利老闆,國家隊,律師
,三立新聞網,加利老闆暴怒：被欺騙簽空白合約 遭官員威脅「吊銷藥證」,加利老闆,欺騙,吊銷藥證
,udn OOPS! 新鮮事,加利指工業防護率99％比醫95％好 藥師：別被百分比騙,加利,工業防護率,
,udn OOPS! 新鮮事,加利老闆稱被政府騙簽約 秀白紙黑字合約打臉,加利老闆,經濟部,簽約
,自由財經,加利「簽白紙」胡說八道經部秀合約：內容簽名都很清楚,加利,簽白紙,經部
,中央社即時新聞,加利口罩進口中國製品混入實名制 王美花重批老鼠屎,加利口罩,王美花,實名制
,UDN 聯合新聞網,加利混用陸製冒實名制口罩 王美花斥：害群之馬、還怪東怪西,加利口罩,王美花,實名制
,中時新聞網 Chinatimes.com,以國家隊為恥？ 經濟部拿數據回擊加利老闆：產能沒有不足,產能,經濟部,數據
