特斯拉董事出脫股票大賺近1.5億 隨後股價3連跌,特斯拉,特斯拉股價,
星展：美股大跌是健康的修正 建議維持科技股投資,星展,美股大跌,
【外媒綜合】那斯達克崩跌短暫回調還是另一波修正的開始？ | 外媒解析| 會員專區,那斯達克,,
美股大跌投資人恐變心 專家：可能再跌10％,美股大跌,美股,
〈美股盤後〉VIX衝高！科技股引爆股災 道瓊暴跌逾 800 點,VIX,科技股,道瓊
台積電跌2.06% 台股重挫近200點 回檔壓力恐飆高,台積電,台股,
美股慘跌VIX指數飆升 分析師：不代表市場將崩盤,美股大跌,VIX,
美股暴跌拖累 台股早盤一度重挫逾200點 富邦VIX飆漲8%,美股,台股,VIX
賭盤爆危機？11/3大選當天美股恐大地震,賭盤,美股,大選
道瓊暴跌800點！恐慌指數VIX飆漲 科技股引爆股災,道瓊,VIX,科技股
台股盤前》美股重挫大跌 短線勢必受拖累,美股,短線,
童子賢：台企實力勝任何FTA 供應鏈不分顏色,童子賢,FTA,供應鏈
紅色供應鏈崛起 童子賢：產業趨勢大於顏色,紅色供應鏈,童子賢,產業趨勢
紅色供應鏈崛起 童子賢：產業趨勢大過顏色選擇,紅色供應鏈,童子賢,產業趨勢
台灣經貿實力漸強！童子賢：韓國簽FTA看似有優勢「但也沒好多少」,童子賢,FTA,韓國
談紅色供應鏈 童子賢：產業趨勢大過顏色選擇,童子賢,產業趨勢,顏色
採用三星8奈米嚇壞市場 繪圖晶片大廠棄台積電有玄機,三星,台積電,8奈米
美國金融研究公司：台積電是全世界最重要的企業！3個理由，股價一點都不貴,台積電,美國金融,股價
北漂族真的回流了！南科快速崛起 掀史上最大工程師移民潮,南科,北漂族,工程師
Ansys多物理場方案通過台積電3奈米製程認證,Ansys,台積電,3奈米
【台灣的南科將成為世界的南科】台積電南下部署帶動國際大廠投資，預估兩年產值直逼竹科！ | TechOrange,南科,台積電,投資
信邦8月營收連5個月創新高 前8月營收同寫新猷,信邦,營收,創新
信邦連五月締新猷,信邦,5月,
去美化助攻宏捷科8月營收靚,去美化,宏捷科,8月
聚陽8月營收跳增至31億元 寫11個月來最佳,聚陽,8月,營收
聚陽8月營收勁揚28%,聚陽,8月,
〈貴金屬盤後〉美股崩跌 市場趕忙變現 黃金挫至一週低點,美股,黃金,市場
《研究報告》新興市場債明顯彈升 後市可期,新興市場,債,
目標到期基金 變動市場優質選項,基金,變動市場,目標到期
新興市場債明顯彈升後市可期,新興市場,債,
豪展8月營收3.16億元 年增逾2倍 連3個月寫新高,豪展,8月,營收
新興債中長線買點到,新興債,中長線,
外資瘋狂掃貨11萬張買的竟然不是台積電,外資,台積電,掃貨
外資買超百億元 最愛從台積電轉為這檔,外資,台積電,買超
台股挫逾百點失守月線 外資大提款 三大法人賣超237.5億元,台股,百點,三大法人
台股虎頭蛇尾 外資態度左右後市多空 分析師：強勢表態得看這3檔,台股,外斯,分析師
三大法人賣超台股237.54億元,三大法人,超賣,234.54
【零股投資術2】買零股經常槓龜？ 這樣出價就對了,買零股,出價,
【零股投資術5】圖解：盤中零股交易上路 3分鐘搞懂新制,盤中,零股,新制
買零股經常槓龜？ 這樣出價就對了,零股,出價,
【零股投資術1】小資族福音！不用再等2點半撮合 盤中零股交易將上路,小資,零股,盤中
小資族買「零股」！他月投資1萬買進3檔...3招讓錢滾大,零股,投資,
口罩國家隊自清：從未旁門左道做口罩 也未遲交,口罩國家隊,口罩,自清
網怨戴心酸？家裡口罩庫存好多「加利」 陸製字體差異曝光,口罩國家隊,庫存,加利
加利老闆以國家隊為恥 嗆「快把我踢出」 律師驚：自掘墳墓啊,加利老闆,國家隊,律師
加利老闆暴怒：被欺騙簽空白合約 遭官員威脅「吊銷藥證」,加利老闆,欺騙,吊銷藥證
加利指工業防護率99％比醫95％好 藥師：別被百分比騙,加利,工業防護率,
加利老闆稱被政府騙簽約 秀白紙黑字合約打臉,加利老闆,經濟部,簽約
加利「簽白紙」胡說八道經部秀合約：內容簽名都很清楚,加利,簽白紙,經部
加利口罩進口中國製品混入實名制 王美花重批老鼠屎,加利口罩,王美花,實名制
加利混用陸製冒實名制口罩 王美花斥：害群之馬、還怪東怪西,加利口罩,王美花,實名制
以國家隊為恥？ 經濟部拿數據回擊加利老闆：產能沒有不足,產能,經濟部,數據
加利口罩國家隊…竟混賣大陸製！侯友宜悍回：全國都要清查,加利口罩,侯友宜,口罩國家隊
八里口罩國家隊混大陸製 業者喊：趕快把我踢出國家隊,八里,國家隊,業者
實名制口罩出現大陸制 侯友宜：廠商有委屈也不該如此,侯友宜,實名制,口罩
最新》新北工廠混大陸口罩侯友宜：矇騙市民、非常痛心,新北,侯友宜,國家隊
【黑心口罩】國家隊混賣中國貨侯友宜痛心：全面深入清查,國家隊,侯友宜,中國貨
加利3月已有口罩進口？陳時中：當時是海關查獲未入境就整批銷毀| 社會,加利,口罩,陳時中
快新聞／混中國製口罩陳時中怒批加利負責人－民視新聞,中國製,陳時中,口罩
加利讚自家口罩好「以國家隊為恥」 陳時中：違法別講五四三,加利,口罩,陳時中
加利口罩混入中國貨陳時中重砲轟| 華視新聞20200904,加利口罩,中國貨,陳時中
犯法在先又「說五四三」 陳時中訓斥加利：一個舉動毀了大家的努力,犯法,加利,陳時中
王金平將率團參加海峽論壇- 政治,王金平,海峽論壇,
陸委會明令 禁在台辦海峽論壇活動,陸委會,海峽論壇,
王金平可去海峽論壇？ 吳敦義：蔡英文沒資格阻撓| 政治,王金平,吳敦義,蔡英文
大陸將舉辦海峽論壇 陸委會提三項禁止,大陸,陸委會,海峽論壇
北京將舉辦海峽論壇陸委會：不鼓勵我方人士參與,北京,海峽論壇,陸委會
加利稱有國家隊廠商不願被徵用口罩 陳其邁對放話不以為然,加利,陳其邁,國家隊
加利老闆喊「快把我踢出國家隊」 陳其邁：我對他非常不以為然,高雄,陳其邁,口罩
傳高雄口罩國家隊未按徵用量上繳！陳其邁要查清楚,口罩,國家隊,徵用
醫院及公共運輸工具不戴口罩 高雄市要罰了,口罩,不戴口罩,高雄市
漏網之魚？高雄記者買到陸製口罩 市府將全面追查,高雄,陸製口罩,市府
【黑心口罩】4點拆穿加利謊言！ 王定宇：賺不義之財還滿口仁義道德,王定宇,加利,謊言
加利高喊一切都為了員工 王定宇：額外分裝反而更累,加利,律師,國家隊
加利叫囂「快把我踢出國家隊」 律師斷言下場：自掘墳墓,加利,中國口罩,王定宇
加利混充中國口罩 王定宇：業者賺不義之財 有媒體還幫忙洗白,加利,王定宇,中國口罩
列4關鍵打臉加利謊言！ 王定宇痛批：做盡壞事，還滿口仁義道德,加利,謊言,王定宇
加利老闆：以國家隊為恥國家隊口罩血汗沒人想做？【中天焦點新聞】｜2020.09.04,加利,國家隊,口罩
加利科技鐵門半開接受退貨 工廠外有大陸紙箱,加利,大陸,紙箱
【黑心口罩】蔡英文：絕不容許中國製冒充MIT 查辦到底確保防疫無破口,中國製,蔡英文,防疫
外媒搶報台灣新版護照非官方設計圖意外吸睛| 政治,外媒,新版護照,台灣
新版護照凸顯TAIWAN 近六成民眾：非常滿意,新版護照,民眾,台灣
時力肯定新版護照展顯台灣意象 高鈺婷：設計應多與民間交流,時力,高鈺婷,設計
邱顯智籲國民黨換黨徽 點名3人「用行動說話」,邱顯智,國民黨,黨徽
時代力量肯定新版護照 高鈺婷：凸顯台灣主權意向,時代力量,新版護照,高鈺婷
加利稱陸製口罩品質勝MIT 指揮中心回應了,指揮中心,口罩,加利
中製口罩混實名制民眾一早搶換貨| 華視新聞20200904,中製,口罩,換貨
加利口罩中國製混入實名制 換貨民眾批打壞台灣信用,加利,中國製,民眾
網怨戴心酸？家裡口罩庫存好多「加利」 陸製字體差異曝光,口罩,加利,陸製
20200904中天新聞加利累犯、三月查到未公布衛福部質疑刻意隱瞞？,累犯,加利,衛福部
批中國承諾幾乎沒實現賀吉普：中國對捷克投資效益被高估| 政治,捷克,中國,賀吉普
不只是台灣人！布拉格市長自曝「驚人身分」：我是台北市民,台灣人,布拉格市長,台北市民
【直播／柯文哲與捷克最帥市長賀瑞普記者會】,賀吉普,柯文哲,記者會
參議長「我是台灣人」 賀吉普：我是台北市民而且是事實！ | 政治,參議長,賀吉普,台北市民
中國取消巡演布拉格愛樂樂團總監：不為政治服務| 國際,中國,布拉格,政治服務
又新增一例境外移入！指揮中心下午2點緊急記者會說明,境外移入,指揮中心,記者會
女台商赴日工作不適 就醫症狀改善仍帶新冠肺炎返國,台商,赴日,新冠肺炎
快訊／台灣新增1例確診 指揮中心下午一併說明口罩風波,指揮中心,口罩風波,確診
【武肺疫報】40多歲女赴日工作返台無症狀確診匡列11人,無症狀,赴日,11人
40多歲女赴日工作返台無症狀確診 同班機接觸者共11人,赴日,無症狀,確診
安倍接班人 日媒民調：菅義偉呼聲最高,安倍,日媒,菅義偉
安倍下台，台日情感派的終結,安倍,台日,
【日相改選】菅義偉將上位？一次看懂安倍接班人的三大人選,安倍接班人,,
【十點不一樣】令和大叔的突襲! 菅義偉宣布參選自民黨黨魁,菅義偉,,
【Yahoo論壇／蔡增家】派系主導下的安倍接班人,日本派系,安倍接班人,
陸委會明令 禁在台辦海峽論壇活動,陸委會,海峽論壇,
王金平可去海峽論壇？ 吳敦義：蔡英文沒資格阻撓| 政治,吳敦義,王金平,海峽論壇
王金平代表國民黨參加海峽論壇？ 江啟臣：還在討論中,江啟臣,,
北京將舉辦海峽論壇陸委會：不鼓勵我方人士參與,陸委會,北京海峽論壇,
傳王金平率團參加海峽論壇國民黨出面說明| 政治,,,
歐銻銻放棄代理愛奇藝 范立達：會對消費者負責,歐銻銻,放棄代理,愛奇藝
台灣禁愛奇藝！用戶問：難道看陸劇就會被洗腦？,台灣,禁愛奇藝,洗腦
愛奇藝掰了! 台灣代理商:今起停止代理去問NCC－民視新聞,,,
OTT草案吵什麼？8大關鍵問答一次看,OTT草案,,
封殺愛奇藝條款生效 歐銻銻宣布停止代理並裁員,封殺愛奇藝,停止代理,裁員
創始版RTX 3060 曝光：16公分單風扇短小精悍,創始版,RTX 3060,16公分
獨／低頭族踩空腳卡月台乘客全下車狂推車廂｜三立新聞台,低頭族,月台,乘客
更新Windows 10 後竟會降低SSD 使用壽命！微軟表示：想辦法修復中,Windows 10,SSD,微軟
Windows 10將採用新API：大幅提升遊戲性能縮短遊戲加載時間,Windows 10,API,遊戲
台鐵新購EMU900型電聯車十月底入港 普悠瑪先試運送軌道,台鐵,普悠瑪,電聯車
甩親中黨內互槓！論述需中國同意？江啟臣怒飆中常委：閉嘴,中常委,江啟臣,論述
藍數位黨部上線民眾黨影片拉近距離| 華視新聞20200903,數位黨部,影片,民眾黨
為兩岸論述跟中常委拍桌江啟臣：國民黨有該堅持的立場| 政治,兩岸論述,江啟臣,中常委
「論述需中國同意」 江啟臣怒飆中常委嗆閉嘴！｜三立新聞台,論述,江啟臣,中常委
自由開講》國民黨嘴巴在硬什麼？重演地方包圍中央的戲碼？ - 自由評論網,國民黨,地方,中央
邰智源挑戰1日府憲兵總統:今天憲兵胖一點－民視新聞,邰智源,憲兵,總統
「最美女憲兵」現身總統府！合體蔡英文鄉民暴動,邰智源,變瘦,憲兵
當憲兵被說胖總統再見邰智源:你變瘦了!, 邰智源,憲兵,總統
最美女憲兵曝光！渾圓上圍撐繃制服 照片曝光引2萬人朝聖,女憲兵,照片,朝聖
邰智源「一日總統府憲兵」 蔡英文驚：今日憲兵胖一點| 政治, 邰智源,憲兵,總統
Google 與DeepMind 合作，改良Google 地圖交通流量預測,Google,DeepMind,地圖
Google解密怎麼使用 AI 預測車流量、決定最佳路線！,Google,AI,車流量
Google地圖也可一鍵訂餐 「Google預訂」在台推出,Google,Google預訂,地圖
Google推新功能！ 地圖可一鍵「訂位、買門票」│TVBS新聞網,Google,地圖,訂位
在Google 地圖街景裡尋找2019 抗爭足跡| 互動專頁| 立場新聞,Google,地圖,抗爭
加利老闆稱被政府騙簽約 經濟部秀白紙黑字合約打臉,加利,簽約,經濟部
網怨戴心酸？家裡口罩庫存好多「加利」 陸製字體差異曝光,口罩,加利,陸製
加利月月買足半價原物料網轟：每月還倒賺3萬片| 社會,加利,原物料,半價
八里口罩國家隊混大陸製 業者喊：趕快把我踢出國家隊,八里,口罩,國家隊
傳台灣飛彈擊落共軍蘇愷35戰機墜毀？空軍駁斥,台灣,飛彈,共軍
網傳台灣擊落解放軍蘇愷35墜機我國防部鄭重否認,台灣,擊落,共軍
傳台灣擊落一架中共SU-35飛機？空軍：鄭重駁斥假訊息,空軍,台灣,SU-35
快訊／網傳台灣擊落共機蘇愷35 空軍司令部：子虛烏有,空軍司令,蘇愷35,台灣
網傳台灣擊落SU-35？ 國防部駁斥：子虛烏有的假訊息,SU-35,國防部,台灣
加利進口中國製口罩偽MIT 海關3月攔截近7萬片,加利,MIT,海關
網怨戴心酸？家裡口罩庫存好多「加利」 陸製字體差異曝光,加利,陸製,口罩
身分曝光！加利吹哨者是新北女藥師 她2個月前就已聽說,加利,吹哨者,女藥師
加利口罩中國製混入實名制 換貨民眾批打壞台灣信用,加利,口罩,中國製
獨／加利吹哨者熱血女藥師曝「2個月前就聽說」 直呼「賊星該敗」,加利,吹哨者,女藥師
「一日憲兵」邰智源出社會了蔡英文笑：他變瘦了| 政治,邰智源,蔡英文,憲兵
邰智源挑戰1日府憲兵總統:今天憲兵胖一點－民視新聞,邰智源,憲兵,總統
「最美女憲兵」現身總統府！合體蔡英文鄉民暴動,憲兵,總統府,蔡英文
最美女憲兵曝光！渾圓上圍撐繃制服 照片曝光引2萬人朝聖,女憲兵,照片,制服
當憲兵被說胖總統再見邰智源:你變瘦了!,憲兵,總統,邰智源
又新增一例境外移入！指揮中心下午2點緊急記者會說明,指揮中心,記者會,境外移入
女台商赴日工作不適 就醫症狀改善仍帶新冠肺炎返國,赴日,就醫,新冠肺炎
快新聞／新增1境外移入40多歲女日本返國確診－民視新聞,40歲,日本,確診
40多歲女赴日工作返台無症狀確診 同班機接觸者共11人,無症狀,確診,接觸者
武漢肺炎》新增1名境外移入！指揮中心下午2時說明| 社會,境外移入,指揮中心,
日媒提問「台灣總統」！中國秒崩潰：台灣地區的一個領導人,台灣總統,中國,日媒
日媒提問「台灣總統蔡英文」 華春瑩一聽秒崩潰,華春瑩,台灣總統蔡英文,日媒
日媒提問稱蔡英文總統 華春瑩：她是中國台灣地區的一個領導人而已,華春瑩,蔡英文,日媒
華春瑩稱蔡英文非總統只是地區領導人網憂:華媽狂犬病又犯了| 政治,華春瑩,蔡英文,領導人
轟美國禁抖音是「搶劫！」 華春瑩跳腳反遭網酸爆「雙重標準」,華春瑩,抖音,美國
加利稱有國家隊廠商不願被徵用口罩 陳其邁對放話不以為然,加利,陳其邁,國家隊
0904高雄市長陳其邁頒獎高雄三民二分局失蹤少女案破案｜民視快新聞｜,陳其邁,高雄,失蹤
口罩實名制傳高雄業者未按徵量繳交 高市：若違規將懲處,高市,口罩,徵量
記者疑拿到陸製口罩 高市府澄清：非實名制配送,陸製,口罩,高雄市
醫院及公共運輸工具不戴口罩 高雄市要罰了,高雄市,罰,口罩
RTX 3080顯示卡為何只配10GB記憶體？NVIDIA：不想漲價,NVIDIA,顯示卡,記憶體
輝達新顯卡「加量不加價」 微星股價奔漲停,輝達,顯卡,微星
【懶人包】NVIDIA RTX 30系列懶人包最強卡王+ 新畫面技術,NVIDIA,RTX 30,
真香！NVIDIA發表「3款」新GPU…懶人包統整給你,NVIDIA,GPU,
外資喊買微星 目標價上看180元,外資,微星,目標價
ROG GeForce RTX 30系顯示卡登場 新款電競熒幕 + 鍵盤 + 滑鼠發佈,NVIDIA,奈米,顯卡
全用三星8 奈米，Nvidia RTX 30 系列顯卡隱憂在這,三星,奈米,NVIDIA
獨／超有愛！低頭族踩空腳卡捷運月台 乘客全下車狂推車廂,低頭族,月台,乘客
沒Google 地圖怎麼辦？華為找它做替代品,地圖,華為,Google
陳菊：被害者正義很重要 但死刑犯生命也只有一次,陳菊,死刑犯,正義
生命只有一次! 陳菊邀看《我的兒子是死刑犯》－民視新聞,陳菊,我的兒子是死刑犯,生命
陳菊：生命只有一次 等待死亡是煎熬的過程,陳菊,死亡,過程
觀賞《我的兒子是死刑犯》紀錄片…陳菊：人權之路漫長艱辛,紀錄片,陳菊,人權
國民黨：蔡政府連口罩都管不好能管好瘦肉精美豬？ - 政治,國民黨,蔡政府,瘦肉精
【重磅快評】陳時中的五四三與蔡政府應盡的把關責任,陳時中,蔡政府,把關
國民黨：口罩都管不好蔡政府能管好瘦肉精美豬？ - 華視新聞網,國民黨,口罩,美豬
蔡政府將開放美豬美牛 洪秀柱：形同「四不一沒有」,蔡政府,洪秀柱,美豬
陳嘉宏專欄：蔡英文給了送分題國民黨還倒扣--上報,蔡英文,國民黨,
九三軍人節 金門古寧頭戰場驚見5枚未爆彈殘體,軍人節,金門,古寧頭
金門古寧頭岸際驚見5枚未爆彈！急拉封鎖線 殘體鏽蝕軍方處置中,金門,未爆彈,古寧頭
古寧頭岸際1次發現5枚未爆彈 金門岸巡趕往處理,古寧頭,金門,未爆彈
古寧頭岸際驚見未爆彈 殘體鏽蝕軍方銷毀,古寧頭,古寧頭,軍方
賴清德答謝捷克參議長晚宴希望未來能持續強化兩國的合作與交流(總統府提供),賴清德,參議長,捷克
邀捷克再訪台賴清德：捷克是正義有勇氣的國際友人| 政治,捷克,賴清德,國際
黑心口罩騙台灣！賴清德怒批加利「見利忘義」：絕不可寬貸,賴清德,加利,口罩
賴清德答謝捷克參議長晚宴 AIT處長出席,賴清德,參議長,AIT
捷克團設宴答謝 賴清德盼齊為國際民主努力,捷克,賴清德,
貝魯特大爆炸一個月後 搜救犬嗅到生命跡象「每分鐘呼吸19次」,貝魯特,生命跡象,
【9/4 直播】黎巴嫩大爆炸1個月廢墟中現生命跡象,黎巴嫩,生命跡象,
「還有生還者」 貝魯特爆炸1個月 廢墟中疑測得兒童生命跡象,貝魯特,廢墟,生命跡象
貝魯特大爆炸一個月後 傳廢墟中發現生命跡象,貝魯特,廢墟,生命跡象
偵測有生命跡象黎巴嫩爆炸滿月再度搜救,黎巴嫩,,生命跡象
批中國承諾幾乎沒實現賀吉普：中國對捷克投資效益被高估| 政治,賀吉普,中國,
台美合辦「重組供應鏈」論壇 發表聯合聲明：確保供應鏈不受政治脅迫,台美,重組供應鏈,聲明
酈英傑：台美經濟商業對話優先關注科技與醫療產品供應鏈| 政治,,酈英傑,經濟商業對話
【對沖人生】林鄭團隊的核級別攬炒- 錢志健,林鄭,,
台美日歐鞏固供應鏈聯合聲明 確保供應鏈不受政治脅迫,台美日歐,供應鏈,政治脅迫
道瓊暴跌800點！分析師：明斯基時刻 恐讓股市回測3月低點,道瓊,明斯基,股市
美股道瓊指數大跌807點 科技股走勢淒慘,美股,道瓊,科技股
美股四大指數暴跌 台股早盤一度重挫近200點,美股,指數,台股
紅二代反習，「蔡霞們」的困獸之鬥,紅二代,,
習近平反擊美國 提「5個絕不答應」,習近平,美國,反擊
習5個不答應 陸美將打持久戰,陸美,習,
抗日戰爭勝利75週年習近平王岐山等中共高層高調露面－ BBC News 中文,習近平,王岐山,抗日戰爭勝利
後19大陷內外僵局 習近平藉民族情緒鞏固權威,後19大,習近平,
又見「諾維喬克」謀殺案！梅克爾證實：「普丁政敵」遭化學武器下毒,梅克爾,諾維喬克,普丁政敵
FOCUS／普欽政敵遭投毒確認蘇聯神經毒「諾維喬克」,普欽政敵,蘇聯神經毒,諾維喬克
普廷政敵被下毒 神經毒劑同俄諜案,普廷政敵,神經毒劑,
又傳「諾維喬克」謀殺案俄國否認| 華視新聞20200903,諾維喬克,,
俄國反對派領袖中毒 克里姆林宮：指控毫無道理,克里姆林宮,俄國領袖中毒,
女台商赴日工作不適 就醫症狀改善仍帶新冠肺炎返國,女台商新冠肺炎,新冠肺炎,
40多歲女赴日工作返台無症狀確診 同班機接觸者共11人,無症狀確診,,
【武肺疫報】40多歲女赴日工作返台無症狀確診匡列11人,無症狀確診,,
台灣新增1例確診 指揮中心下午2時一併說明中國口罩風波,台灣確診,中國口罩,
快新聞／新增1境外移入40多歲女日本返國確診－民視新聞,境外移入,確診,
驚險影像曝光！梅莎襲韓河水暴漲 男向客車大喊「別過來」瞬間橋塌,韓國颱風,,
